,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Salinas,US,76.01,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
13,Georgetown,MY,80.55,scattered clouds,5.4112,100.3354,Cititel Penang
16,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Garissa,KE,76.51,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
24,Kavieng,PG,82.26,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
26,Owando,CG,76.53,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
27,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
32,San Jose,US,75.78,broken clouds,37.3394,-121.895,The Westin San Jose
39,Jasper,US,81.0,clear sky,37.2001,-94.3502,Guest House Motel
43,Nanakuli,US,84.15,few clouds,21.3906,-158.1547,Camp Pālehua
50,Ondangwa,,77.92,few clouds,-17.9167,15.95,Protea Hotel by Marriott Ondangwa
58,Atuona,PF,77.83,clear sky,-9.8,-139.0333,Villa Enata
59,Bandarbeyla,SO,78.33,light rain,9.4942,50.8122,JABIR HOTEL
60,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
61,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
69,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
82,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
84,Jamestown,US,78.12,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
86,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
87,Butaritari,KI,82.81,few clouds,3.0707,172.7902,Isles Sunset Lodge
90,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
94,Kailua,US,84.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
95,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
101,Lac Du Bonnet,CA,78.94,clear sky,50.2536,-96.0612,Casey's Inn Motor Hotel
105,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
106,Bubaque,GW,83.43,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
108,Nouadhibou,MR,78.78,overcast clouds,20.931,-17.0347,El Medina
109,Ishigaki,JP,82.53,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
115,Cotonou,BJ,80.58,thunderstorm,6.3654,2.4183,Novotel Cotonou Orisha
131,Vila Velha,BR,78.75,thunderstorm,-20.3297,-40.2925,Quality Suites Vila Velha
134,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
136,Ugoofaaru,MV,81.86,broken clouds,5.6667,73.0,Ungoofaaru Inn
143,Harper,LR,77.54,overcast clouds,4.375,-7.7169,Screensaver
145,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
147,Amahai,ID,76.15,broken clouds,-3.3333,128.9167,HOTEL ISABELA
148,Manali,IN,84.29,broken clouds,13.1667,80.2667,Sarathy Lodge
149,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
153,Isla Aguada,MX,83.32,overcast clouds,18.7833,-91.4667,Freedom Shores
157,Abonnema,NG,76.32,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
161,Muncie,US,75.7,broken clouds,40.1934,-85.3864,Best Western Muncie
164,Boone,US,75.45,broken clouds,39.0334,-92.3335,Cottonwoods RV Park
166,Salinopolis,BR,80.82,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
168,Saint George,US,79.63,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
169,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
171,Kavaratti,IN,81.25,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
177,Mackay,AU,78.67,scattered clouds,-21.15,149.2,International Lodge Motel
181,Quang Ngai,VN,75.54,heavy intensity rain,15.1167,108.8,Central Hotel
183,Fare,PF,78.37,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
188,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
189,Hithadhoo,MV,82.67,broken clouds,-0.6,73.0833,Scoop Guest House
190,Streator,US,76.98,overcast clouds,41.1209,-88.8354,AmericInn by Wyndham Streator
199,Sagar,IN,77.95,overcast clouds,23.8333,78.7167,Hotel Devyog
202,Coxim,BR,84.52,scattered clouds,-18.5067,-54.76,Hotel Avenida
211,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
213,Kaduqli,SD,77.54,few clouds,11.0167,29.7167,فندق الله جابو
214,Kalianget,ID,79.27,clear sky,-7.05,113.9333,Pesanggrahan Garam
215,Hamilton,US,79.43,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
216,Isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
223,Axim,GH,77.16,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
224,Parkersburg,US,77.47,overcast clouds,39.2667,-81.5615,The Blennerhassett Hotel
225,Bentiu,SS,76.44,broken clouds,9.2333,29.8333,Mandela hôtel
226,Malangwa,NP,77.47,clear sky,26.8568,85.5581,Prem Meat House
227,Sabang,ID,82.04,overcast clouds,5.8933,95.3214,Hotel Citra
229,Laguna,US,77.25,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
