,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saldanha,ZA,-33.0117,17.9442,57.25,97,15,13.65,few clouds
1,Cahors,FR,44.4167,1.3333,47.7,82,0,5.68,clear sky
2,Cape Town,ZA,-33.9258,18.4232,59.09,73,40,16.11,scattered clouds
3,Jucurutu,BR,-6.0339,-37.0203,85.6,56,89,10.49,overcast clouds
4,Port Elizabeth,ZA,-33.918,25.5701,67.1,82,100,8.19,overcast clouds
5,Salinas,US,36.6777,-121.6555,76.01,60,75,14.97,broken clouds
6,Kurumkan,RU,54.3,110.3,30.72,69,76,1.79,broken clouds
7,Karatuzskoye,RU,53.6072,92.8667,33.57,95,100,14.0,light rain
8,Torbay,CA,47.6666,-52.7314,52.75,67,40,6.91,scattered clouds
9,Tongchuan,CN,35.0806,109.0897,51.8,89,79,4.65,broken clouds
10,General Roca,AR,-39.0333,-67.5833,70.2,20,0,9.71,clear sky
11,Lima,PE,-12.0432,-77.0282,62.38,83,75,1.01,broken clouds
12,Albany,US,42.6001,-73.9662,71.47,77,5,2.39,clear sky
13,Georgetown,MY,5.4112,100.3354,80.55,87,40,1.99,scattered clouds
14,Tiznit,MA,29.5833,-9.5,69.03,51,7,1.88,clear sky
15,Khatanga,RU,71.9667,102.5,18.21,93,100,8.68,overcast clouds
16,Vaini,TO,-21.2,-175.2,78.96,83,20,9.22,few clouds
17,Clyde River,CA,70.4692,-68.5914,30.43,100,90,5.75,fog
18,Garissa,KE,-0.4536,39.6401,76.51,72,13,17.0,few clouds
19,Coihaique,CL,-45.5752,-72.0662,64.35,36,0,6.91,clear sky
20,Meulaboh,ID,4.1363,96.1285,74.53,88,100,3.04,overcast clouds
21,Chapais,CA,49.7834,-74.8492,69.58,73,54,5.17,broken clouds
22,College,US,64.8569,-147.8028,39.58,95,90,4.61,light rain
23,Calatayud,ES,41.3535,-1.6432,64.98,52,2,2.01,clear sky
24,Kavieng,PG,-2.5744,150.7967,82.26,74,35,4.25,scattered clouds
25,Kruisfontein,ZA,-34.0033,24.7314,64.89,60,100,8.46,overcast clouds
26,Owando,CG,-0.4819,15.8999,76.53,79,54,1.7,broken clouds
27,Touros,BR,-5.1989,-35.4608,81.5,81,72,15.73,broken clouds
28,San Quintin,MX,30.4833,-115.95,71.44,66,100,14.56,overcast clouds
29,Chuy,UY,-33.6971,-53.4616,48.72,74,1,6.8,clear sky
30,Mahanoro,MG,-19.9,48.8,67.51,87,93,9.62,light rain
31,Hobart,AU,-42.8794,147.3294,56.26,73,20,1.99,few clouds
32,San Jose,US,37.3394,-121.895,75.78,46,75,10.0,broken clouds
33,Helong,CN,42.5397,128.9972,41.88,91,0,4.65,clear sky
34,Hami,CN,42.8,93.45,42.39,53,100,23.2,light rain
35,Taldan,RU,53.6667,124.8,26.13,94,11,2.57,few clouds
36,Nizhniy Odes,RU,63.6445,54.856,41.36,79,0,12.66,clear sky
37,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,80,20,8.05,few clouds
38,Sioux Lookout,CA,50.1001,-91.917,71.98,60,75,6.91,broken clouds
39,Jasper,US,37.2001,-94.3502,81.0,53,1,1.01,clear sky
40,Komsomolskiy,UZ,40.4272,71.7189,53.02,81,94,4.61,overcast clouds
41,Iqaluit,CA,63.7506,-68.5145,38.93,80,75,8.99,broken clouds
42,Ilulissat,GL,69.2167,-51.1,13.78,78,6,5.86,clear sky
43,Nanakuli,US,21.3906,-158.1547,84.15,73,20,14.97,few clouds
44,Yellowknife,CA,62.456,-114.3525,39.42,99,90,1.01,overcast clouds
45,Shiyan,CN,32.6475,110.7781,54.79,97,100,1.74,overcast clouds
46,Acapulco,MX,16.8634,-99.8901,87.62,70,75,9.22,broken clouds
47,Mataura,NZ,-46.1927,168.8643,55.47,56,99,3.38,overcast clouds
48,Qaanaaq,GL,77.484,-69.3632,18.97,61,81,7.61,broken clouds
49,Castro,BR,-24.7911,-50.0119,59.0,99,99,8.9,overcast clouds
50,Ondangwa,NA,-17.9167,15.95,77.92,22,20,10.94,few clouds
51,Ponferrada,ES,42.5466,-6.5962,66.96,83,95,3.0,overcast clouds
52,Bara,NG,10.3744,10.7288,75.83,80,59,5.1,broken clouds
53,Shasta Lake,US,40.6804,-122.3708,74.35,26,100,3.0,overcast clouds
54,Port Alfred,ZA,-33.5906,26.891,67.46,89,100,12.48,overcast clouds
55,Punta Arenas,CL,-53.15,-70.9167,51.91,40,0,27.63,clear sky
56,Tasiilaq,GL,65.6145,-37.6368,35.76,49,2,6.55,clear sky
57,Brae,GB,60.3964,-1.353,55.31,97,100,14.94,overcast clouds
58,Atuona,PF,-9.8,-139.0333,77.83,78,10,15.48,clear sky
