City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-10-05 19:51:05,-23.1203,-134.9692,74.37,78,48,19.82
1,Fort Nelson,CA,2021-10-05 19:51:05,58.8053,-122.7002,36.99,65,75,3.44
2,Kaeo,NZ,2021-10-05 19:51:06,-35.1,173.7833,61.32,97,100,3.89
3,Georgetown,MY,2021-10-05 19:51:06,5.4112,100.3354,78.73,90,40,3.0
4,Mataura,NZ,2021-10-05 19:51:06,-46.1927,168.8643,49.48,96,100,5.17
5,Punta Arenas,CL,2021-10-05 19:51:07,-53.15,-70.9167,50.11,43,0,23.02
6,Busselton,AU,2021-10-05 19:51:07,-33.65,115.3333,39.04,70,83,4.59
7,Chuy,UY,2021-10-05 19:51:08,-33.6971,-53.4616,63.84,58,0,7.16
8,Hithadhoo,MV,2021-10-05 19:51:08,-0.6,73.0833,83.52,76,99,18.19
9,Hermanus,ZA,2021-10-05 19:51:09,-34.4187,19.2345,57.79,84,13,9.22
10,Ancud,CL,2021-10-05 19:46:34,-41.8697,-73.8203,53.13,48,1,8.25
11,Mahebourg,MU,2021-10-05 19:51:11,-20.4081,57.7,71.26,88,40,4.61
12,Gari,RU,2021-10-05 19:51:12,59.4307,62.3497,34.84,87,100,4.79
13,Carlos Chagas,BR,2021-10-05 19:51:12,-17.7031,-40.7664,94.71,24,85,13.51
14,Port Moresby,PG,2021-10-05 19:51:14,-9.4431,147.1797,76.42,88,40,3.44
15,Kloulklubed,PW,2021-10-05 19:51:14,7.0419,134.2556,82.62,78,100,20.24
16,Ketchikan,US,2021-10-05 19:51:14,55.3422,-131.6461,46.87,57,1,11.5
17,Ushuaia,AR,2021-10-05 19:50:36,-54.8,-68.3,47.82,53,0,23.02
18,Guarapari,BR,2021-10-05 19:51:15,-20.6667,-40.4975,76.89,85,100,6.4
19,Albany,US,2021-10-05 19:50:24,42.6001,-73.9662,62.8,95,100,1.52
20,Hilo,US,2021-10-05 19:51:16,19.7297,-155.09,80.8,79,90,4.61
21,Beaufort,MY,2021-10-05 19:51:17,5.3473,115.7455,78.96,96,98,2.59
22,Victor Harbor,AU,2021-10-05 19:51:17,-35.5667,138.6167,59.79,51,69,9.98
23,Caraquet,CA,2021-10-05 19:51:18,47.7941,-64.9386,66.78,58,9,6.35
24,Bredasdorp,ZA,2021-10-05 19:51:19,-34.5322,20.0403,58.32,82,11,11.5
25,Buraydah,SA,2021-10-05 19:51:19,26.326,43.975,90.05,19,0,9.78
26,Arraial Do Cabo,BR,2021-10-05 19:51:19,-22.9661,-42.0278,71.46,83,90,6.91
27,Tuatapere,NZ,2021-10-05 19:51:20,-46.1333,167.6833,49.82,92,100,3.47
28,Port Hardy,CA,2021-10-05 19:51:21,50.6996,-127.4199,48.38,87,90,5.75
29,Ulladulla,AU,2021-10-05 19:51:21,-35.35,150.4667,53.1,74,15,5.08
30,Bad Freienwalde,DE,2021-10-05 19:51:21,52.7873,14.0304,56.5,95,100,3.0
31,Victoria,HK,2021-10-05 19:46:48,22.2855,114.1577,84.38,74,3,1.99
32,Mikhaylovskoye,RU,2021-10-05 19:51:22,51.8239,79.7172,32.61,94,100,4.61
33,Atar,MR,2021-10-05 19:51:22,20.5169,-13.0499,92.39,17,2,9.22
34,Srednekolymsk,RU,2021-10-05 19:51:22,67.45,153.6833,14.68,89,79,8.16
35,Castro,BR,2021-10-05 19:51:23,-24.7911,-50.0119,65.39,84,93,8.72
36,North Bend,US,2021-10-05 19:49:54,43.4065,-124.2243,57.24,96,90,4.61
37,Aripuana,BR,2021-10-05 19:49:48,-9.1667,-60.6333,86.25,61,98,2.98
38,Karasburg,NA,2021-10-05 19:51:24,-28.0167,18.75,67.28,17,2,12.41
39,Lorengau,PG,2021-10-05 19:51:24,-2.0226,147.2712,80.22,80,100,5.68
40,Cabo San Lucas,MX,2021-10-05 19:51:24,22.8909,-109.9124,95.5,60,0,1.01
41,Aguimes,ES,2021-10-05 19:51:25,27.9054,-15.4461,70.43,62,20,21.85
42,Pala,TD,2021-10-05 19:51:25,9.3642,14.9046,76.26,78,66,5.08
43,Tazovskiy,RU,2021-10-05 19:51:26,67.4667,78.7,40.55,96,100,19.04
44,Tasiilaq,GL,2021-10-05 19:51:26,65.6145,-37.6368,26.87,80,21,5.84
45,Bambous Virieux,MU,2021-10-05 19:51:26,-20.3428,57.7575,71.22,88,40,4.61
46,Chabahar,IR,2021-10-05 19:51:27,25.2919,60.643,81.18,79,7,7.47
47,East London,ZA,2021-10-05 19:51:27,-33.0153,27.9116,61.47,78,58,8.75
48,Butaritari,KI,2021-10-05 19:51:27,3.0707,172.7902,81.81,69,17,14.41
49,Hobart,AU,2021-10-05 19:51:28,-42.8794,147.3294,48.06,62,75,5.01
50,Tuktoyaktuk,CA,2021-10-05 19:51:28,69.4541,-133.0374,30.2,86,20,11.5
51,Olden,NO,2021-10-05 19:51:28,61.8364,6.8064,54.91,80,99,5.1
52,Yebaishou,CN,2021-10-05 19:51:29,41.3975,119.6408,49.59,58,100,4.54
53,Barrhead,GB,2021-10-05 19:51:29,55.7992,-4.3929,51.53,77,61,3.0
54,Saskylakh,RU,2021-10-05 19:51:29,71.9167,114.0833,22.75,95,100,7.36
55,Nikolskoye,RU,2021-10-05 19:51:30,59.7035,30.7861,51.87,70,97,12.12
56,Norman Wells,CA,2021-10-05 19:51:30,65.282,-126.8329,30.24,86,75,6.91
57,Mareeba,AU,2021-10-05 19:51:31,-17.0,145.4333,70.52,92,6,2.64
58,Port Blair,IN,2021-10-05 19:51:31,11.6667,92.75,79.97,82,97,9.6
59,Lianzhou,CN,2021-10-05 19:51:31,24.7811,112.3825,78.67,78,97,1.86
60,Khatanga,RU,2021-10-05 19:51:32,71.9667,102.5,29.03,98,100,8.97
61,New Norfolk,AU,2021-10-05 19:51:32,-42.7826,147.0587,47.71,55,100,3.0
62,Portland,US,2021-10-05 19:50:19,45.5234,-122.6762,58.77,93,90,1.01
63,Port Alfred,ZA,2021-10-05 19:51:33,-33.5906,26.891,61.05,78,54,13.85
64,Tilichiki,RU,2021-10-05 19:51:33,60.4667,166.1,28.42,79,100,12.17
65,Ewa Beach,US,2021-10-05 19:51:33,21.3156,-158.0072,84.15,58,20,10.36
66,Jamestown,US,2021-10-05 19:48:17,42.097,-79.2353,74.52,75,40,5.01
67,Dikson,RU,2021-10-05 19:51:34,73.5069,80.5464,36.52,95,100,19.51
68,San Patricio,US,2021-10-05 19:51:34,28.017,-97.5169,91.92,26,0,8.97
69,Puerto Ayora,EC,2021-10-05 19:51:34,-0.7393,-90.3518,75.16,83,68,7.0
70,Hualmay,PE,2021-10-05 19:51:35,-11.0964,-77.6139,66.16,74,95,10.76
71,Kuala Terengganu,MY,2021-10-05 19:51:35,5.3302,103.1408,76.95,94,20,3.44
72,Cape Town,ZA,2021-10-05 19:51:36,-33.9258,18.4232,62.28,66,0,3.0
73,Ribeira Grande,PT,2021-10-05 19:51:36,38.5167,-28.7,73.8,94,75,10.36
74,Katete,UG,2021-10-05 19:51:37,-0.7818,29.7544,62.51,94,64,2.98
75,Taoudenni,ML,2021-10-05 19:51:37,22.6783,-3.9836,96.71,9,5,9.08
